"";"DAYS";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"20";"22";"24";"26";"28";"30";"32";"35";"38";"42";"45";"48";"total"
"43";"D4";0;1;7;9;16;16;17;17;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
"44";"D5";0;1;5;10;13;14;16;16;17;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;19;19;20
"45";"D6";0;1;9;13;16;16;16;16;17;17;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;20
"46";"D7";0;1;6;11;13;17;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;20
"47";"D8";0;0;1;4;11;13;14;14;14;17;17;17;17;17;17;17;17;17;17;17;17;18;18;18;18;18;18;20
"48";"D9";0;0;0;4;11;13;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;20
"49";"D10";0;0;0;0;2;10;12;14;15;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;20
"50";"D11";0;0;0;0;0;1;8;11;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;18
"51";"D12";0;0;0;0;0;0;1;5;8;12;13;13;13;13;13;13;13;13;13;13;13;13;13;13;14;14;14;20
"52";"D13";0;0;0;0;0;0;0;4;10;17;17;18;18;18;18;18;18;18;18;18;18;18;19;19;19;19;19;20
"53";"E1";0;0;0;0;0;1;1;4;5;5;6;7;7;7;8;10;11;11;12;13;13;13;13;13;13;14;14;19
"54";"E2";0;0;3;4;6;8;8;9;11;11;12;12;12;12;12;12;13;14;16;16;16;16;16;16;16;17;17;18
"55";"E3";0;3;9;13;15;16;16;16;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;19;20
"56";"E4";1;4;8;9;10;12;12;12;12;13;14;14;14;14;14;14;15;15;15;15;15;15;15;15;17;17;17;21
"57";"E5";0;5;12;15;15;16;16;16;16;16;17;17;17;17;17;17;17;17;18;18;18;18;18;19;19;19;19;20
"58";"E6";0;7;12;14;14;17;17;17;17;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;20
"59";"E7";0;2;4;8;10;14;16;17;17;17;17;17;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;19
"60";"E8";0;0;5;10;11;12;12;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;19
